text,question,answer
The Dead Sea is a salt lake bordered by Jordan to the east and Israel and Palestine to the west. It is one of the saltiest bodies of water.,Which body of water is known for its salinity?,It is one of the saltiest bodies of water.
"The Vatican City is an independent city-state enclaved within Rome, Italy, and is the spiritual and administrative center of the Roman Catholic Church.",What is the Vatican City known for?,The center of the Roman Catholic Church.
The Pacific Ocean is the largest and deepest of the world's oceanic divisions. It extends from the Arctic Ocean in the north to the Southern Ocean in the south.,Which is the largest and deepest ocean?,The Pacific Ocean.
Leonardo da Vinci was an Italian polymath of the Renaissance who is widely considered one of the greatest painters of all time.,Who is considered one of the greatest painters of all time?,Leonardo da Vinci.
"The Colosseum is an ancient amphitheater located in Rome, Italy. It was used for gladiatorial contests and public spectacles.",What was the Colosseum used for?,Gladiatorial contests and public spectacles.
The Amazon Rainforest is located in South America and is the largest tropical rainforest in the world. It is known for its biodiversity.,Where is the largest tropical rainforest located?,South America.
The Mona Lisa is a famous portrait painted by Leonardo da Vinci. It is housed in the Louvre Museum in Paris.,Where is the Mona Lisa displayed?,The Louvre Museum in Paris.
"The Great Barrier Reef is the world's largest coral reef system, located in the Coral Sea, off the coast of Queensland, Australia.",Where is the Great Barrier Reef located?,"Off the coast of Queensland, Australia."
"The Taj Mahal is a white marble mausoleum built in Agra, India, by Mughal Emperor Shah Jahan in memory of his wife Mumtaz Mahal.",Who commissioned the Taj Mahal?,Shah Jahan.
"The Sahara Desert is the largest hot desert in the world, located in North Africa. It is known for its vast stretches of sand and dunes.",What is the largest hot desert in the world?,The Sahara Desert.
The Statue of Liberty is a colossal sculpture on Liberty Island in New York Harbor in New York City. It was a gift from France to the United States.,Who gave the Statue of Liberty to the United States?,France.
The Dead Sea is a salt lake bordered by Jordan to the east and Israel and Palestine to the west. It is one of the saltiest bodies of water in the world.,Which lake is known for being one of the saltiest in the world?,The Dead Sea.
"The Pyramids of Giza are ancient pyramid structures located in Egypt, built as tombs for Pharaohs.",Where are the Pyramids of Giza located?,Egypt.
"The Louvre Museum is one of the largest and most visited art museums in the world. It is located in Paris, France.",Where is the Louvre Museum located?,"Paris, France."
The Hubble Space Telescope is a space telescope that was launched into low Earth orbit in 1990. It has provided some of the most detailed images of distant galaxies.,When was the Hubble Space Telescope launched?,1990
"The Leaning Tower of Pisa is a freestanding bell tower located in Pisa, Italy. It is known for its unintended tilt.",Where is the Leaning Tower of Pisa located?,"Pisa, Italy."
The Berlin Wall was a barrier that divided East and West Berlin from 1961 to 1989 during the Cold War.,When was the Berlin Wall erected?,1961
The Taj Mahal is renowned for its intricate marble inlay work and majestic domes. It is a UNESCO World Heritage Site.,What is the Taj Mahal famous for?,Its intricate marble inlay work and majestic domes.
The Sistine Chapel is a chapel in Vatican City famous for its ceiling painted by Michelangelo.,Who painted the ceiling of the Sistine Chapel?,Michelangelo.
"The Great Wall of China stretches over 13,000 miles and was built over several dynasties.",How long is the Great Wall of China?,"Over 13,000 miles."
"The Grand Canyon is a natural geological formation located in Arizona, USA. It is known for its layered red rocks.",Where is the Grand Canyon located?,"Arizona, USA."
The Parthenon is an ancient Greek temple dedicated to the goddess Athena. It is located on the Acropolis of Athens.,To whom is the Parthenon dedicated?,The goddess Athena.
The Pyramids of Giza were constructed during the Old Kingdom of Ancient Egypt.,During which period were the Pyramids of Giza constructed?,The Old Kingdom of Ancient Egypt.
"The Sydney Opera House is a multi-venue performing arts center located in Sydney, Australia. It is known for its unique sail-like design.",What is the Sydney Opera House known for?,Its unique sail-like design.
"The Sistine Chapel's ceiling features scenes from the Book of Genesis, including the famous 'Creation of Adam'.",What famous scene is depicted on the Sistine Chapel's ceiling?,The 'Creation of Adam'.
"The Golden Gate Bridge is a suspension bridge spanning the Golden Gate Strait in San Francisco, California.",Where is the Golden Gate Bridge located?,"San Francisco, California."
The Vatican City is the smallest independent state in the world by both area and population.,What is the smallest independent state in the world?,Vatican City.
The Eiffel Tower was originally intended to be a temporary exhibit for the 1889 Exposition Universelle.,For what event was the Eiffel Tower originally built?,The 1889 Exposition Universelle.
"The Andes is the longest continental mountain range in the world, stretching along the western edge of South America.",What is the longest continental mountain range in the world?,The Andes.
The Panama Canal is an artificial waterway that connects the Atlantic and Pacific Oceans. It is located in Central America.,What does the Panama Canal connect?,The Atlantic and Pacific Oceans.
"The Louvre Museum is famous for housing the Mona Lisa, one of the most famous paintings in the world.",What famous painting is housed in the Louvre Museum?,The Mona Lisa.
The Eiffel Tower was completed in 1889 and was initially criticized by many prominent artists and intellectuals.,In what year was the Eiffel Tower completed?,1889
The Dead Sea is situated at the lowest point on Earth's surface and is known for its high salinity and therapeutic properties.,What is notable about the location of the Dead Sea?,It is at the lowest point on Earth's surface.
